countyfips,num_drug_death_t,year_t,num_drug_death_t_1,num_drug_death_t_2,num_drug_death_t_3,log_num_drug_death_t_1,log_num_drug_death_t_2,log_num_drug_death_t_3,num_drug_crime_t_1,num_drug_crime_state_t_1,is_sup_all_drug_death_t_1,crime_grav_drug_t_1,fent_rt_t_1,num_drug_crime_t_2,num_drug_crime_state_t_2,is_sup_all_drug_death_t_2,crime_grav_drug_t_2,fent_rt_t_2,num_drug_crime_t_3,num_drug_crime_state_t_3,is_sup_all_drug_death_t_3,crime_grav_drug_t_3,fent_rt_t_3,num_primary_care_physicians,poor_fair_health,poor_physical_health_days,adult_smoking,adult_obesity,unemployment,uninsured_adults,high_school_graduation,gini,hmi,Population,is_ruca_1,is_ruca_2,is_ruca_3,is_ruca_4,is_ruca_5,is_ruca_7,is_ruca_8,is_ruca_9,lat,long,is_CT,is_DE,is_KY,is_MA,is_ME,is_NH,is_OH,is_RI,is_TN,is.stateborder,num_drug_death_t_3_x_num_drug_crime_t_3,num_drug_death_t_2_x_num_drug_crime_t_2,num_drug_death_t_1_x_num_drug_crime_t_1,num_drug_death_t_3_x_fent_rt_t_3,num_drug_death_t_2_x_fent_rt_t_2,num_drug_death_t_1_x_fent_rt_t_1,log_num_drug_death_t_3_x_num_drug_crime_t_3,log_num_drug_death_t_2_x_num_drug_crime_t_2,log_num_drug_death_t_1_x_num_drug_crime_t_1,log_num_drug_death_t_3_x_fent_rt_t_3,log_num_drug_death_t_2_x_fent_rt_t_2,log_num_drug_death_t_1_x_fent_rt_t_1
10005,36,2013,28,39,34,3.36729583,3.688879454,3.555348061,0.446160742,0.085608031,0,0.749186716,0,0.421335724,0.086890411,0,0.748235087,0,0.415129469,0.083831019,0,0.751246489,0,0.281446541,0.372716673,0.416820135,0.54120692,0.52672956,0.474735192,0.747654234,0.658292761,0.527963644,0.531791908,0.426304692,0,1,0,0,0,0,0,0,38.677511,-75.335495,0,1,0,0,0,0,0,0,0,1,14.11440196,16.43209323,12.49250078,0,0,0,1.475929754,1.554256695,1.502355206,0,0,0
21001,0,2013,0,0,0,0,0,0,0.039306279,0.362309017,1,0.825249295,0.000559555,0.039995862,0.351005752,1,0.828266218,0.001108013,0.019997931,0.341241344,1,0.817731577,0.000571948,0.024371069,1,0.806629834,0.899604958,0.745283019,0.695438761,0.862314739,0.770509146,0.688174745,0.165590786,0.035631452,0,0,0,0,0,1,0,0,37.105541,-85.281401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21003,0,2013,0,0,0,0,0,0,0.08275006,0.362309017,1,0.83769353,0.000559555,0.021377099,0.351005752,1,0.855442491,0.001108013,0.017239596,0.341241344,1,0.843875377,0.000571948,0.007861635,0.881461329,0.775936157,0.991826727,0.676100629,0.816927592,0.743147558,0.772669902,0.513513231,0.279012215,0.038706801,0,0,1,0,0,0,0,0,36.75077,-86.192458,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21005,0,2013,0,0,0,0,0,0,0.043443782,0.362309017,1,0.935330121,0.000559555,0.057925042,0.351005752,1,0.902252015,0.001108013,0.042064614,0.341241344,1,0.877968713,0.000571948,0.016509434,0.516129032,0.36218539,0.642419289,0.720125786,0.670215496,0.665031838,0.876807268,0.224504969,0.601567459,0.041924121,0,0,0,0,0,0,0,0,38.005396,-84.986417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21007,0,2013,0,0,0,0,0,0,0.033100024,0.362309017,1,0.848544096,0.000559555,0.04137503,0.351005752,1,0.850641397,0.001108013,0.033100024,0.341241344,1,0.838879807,0.000571948,0.004716981,0.687135639,0.805402087,0.912818417,0.600628931,0.632380599,0.825769954,0.865110193,0.743672709,0.378722796,0.013272972,0,0,0,0,0,0,0,1,37.05112,-89.009178,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21009,10,2013,0,0,0,0,0,0,0.179981381,0.362309017,1,0.815781385,0.000559555,0.304796056,0.351005752,1,0.810311831,0.001108013,0.248250181,0.341241344,1,0.797867281,0.000571948,0.116352201,0.718616401,0.59791283,0.720201607,0.507861635,0.771108556,0.734134206,0.788408917,0.656551378,0.295133549,0.08658085,0,0,0,0,0,0,0,0,36.963614,-85.92499,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21011,0,2013,0,0,0,0,0,0,0.006895838,0.362309017,1,0.905042477,0.000559555,0.008275006,0.351005752,1,0.889918004,0.001108013,0.00896459,0.341241344,1,0.888003903,0.000571948,0.003930818,0.863712916,0.713321056,0.986377878,0.691823899,0.884816985,0.753663136,0.788921088,0.768594436,0.182020663,0.020658398,0,0,0,0,0,0,1,0,38.152249,-83.737641,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21013,24,2013,11,17,26,2.48490665,2.890371758,3.295836866,0.135848016,0.362309017,0,0.792048641,0.000559555,0.153777195,0.351005752,0,0.795933893,0.001108013,0.23721684,0.341241344,0,0.793855999,0.000571948,0.059748428,1,1,0.80070835,0.77672956,0.87052703,0.581398593,0.757534633,0.942627671,0.077309126,0.056842681,0,0,0,0,0,1,0,0,36.72268,-83.681046,0,0,1,0,0,0,0,0,0,1,6.167637831,2.614212323,1.494328173,0.014870639,0.018836228,0.006155109,0.781828005,0.444473263,0.337569638,0.001885046,0.003202571,0.001390443
21015,41,2013,32,22,31,3.496507561,3.135494216,3.465735903,0.236527256,0.362309017,0,0.985978612,0.000559555,0.182739717,0.351005752,0,0.994988217,0.001108013,0.214460573,0.341241344,0,0.999367231,0.000571948,0.208333333,0.382951159,0.494782075,0.423103119,0.577044025,0.566169528,0.585413893,0.842263033,0.299689002,0.8263148,0.256367483,1,0,0,0,0,0,0,0,38.974595,-84.731444,0,0,1,0,0,0,0,0,0,1,6.648277764,4.020273765,7.568872186,0.017730377,0.024376296,0.017905771,0.743263708,0.572979324,0.827019338,0.00198222,0.00347417,0.001956489
21017,0,2013,0,0,0,0,0,0,0.029652105,0.362309017,1,0.963084958,0.000559555,0.019997931,0.351005752,1,0.912872057,0.001108013,0.039306279,0.341241344,1,0.893531267,0.000571948,0.032232704,0.454946231,0.497237569,0.488006957,0.783018868,0.594545701,0.795725446,0.811214385,0.656132525,0.340527832,0.038459425,0,1,0,0,0,0,0,0,38.202562,-84.20986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
